MT-TF	TRNF
MT-RNR1	RNR1
MT-RNR1	MTRNR1
MT-TV	TRNV
MT-TV	MTTV
MT-RNR2	RNR2
MT-RNR2	MTRNR2
MT-TL1	TRNL1
MT-TL1	MTTL1
MT-ND1	ND1
MT-ND1	MTND1
MT-TI	TRNI
MT-TI	MTTI
MT-TQ	TRNQ
MT-TQ	MTTQ
MT-TM	TRNM
MT-TM	MTTM
MT-ND2	ND2
MT-ND2	MTND2
MT-TW	TRNW
MT-TW	MTTW
MT-TA	TRNA
MT-TA	MTTA
MT-TN	TRNN
MT-TN	MTTN
MT-TC	TRNC
MT-TC	MTTC
MT-TY	TRNY
MT-TY	MTTY
MT-CO1	COX1
MT-CO1	MTCO1
MT-TS1	TRNS1
MT-TS1	MTTS1
MT-TD	TRND
MT-TD	MTTD
MT-CO2	COX2
MT-CO2	MTCO2
MT-TK	TRNK
MT-TK	MTTK
MT-ATP8	ATP8
MT-ATP8	MTATP8
MT-ATP6	ATP6
MT-ATP6	MTATP6
MT-CO3	COX3
MT-CO3	MTCO3
MT-TG	TRNG
MT-TG	MTTG
MT-ND3	ND3
MT-ND3	MTND3
MT-TR	TRNR
MT-TR	MTTR
MT-ND4L	ND4L
MT-ND4L	MTND4L
MT-ND4	ND4
MT-ND4	MTND4
MT-TH	TRNH
MT-TH	MTTH
MT-TS2	TRNS2
MT-TS2	MTTS2
MT-TL2	TRNL2
MT-TL2	MTTL2
MT-ND5	ND5
MT-ND5	MTND5
MT-ND6	ND6
MT-ND6	MTND6
MT-TE	TRNE
MT-TE	MTTE
MT-CYB	CYTB
MT-CYB	MTCYB
MT-TT	TRNT
MT-TT	MTTT
MT-TP	TRNP
MT-TP	MTTP
